Halsted & Armitage,41.91807745,-87.64841955,db,
79th Street & Wood,41.75024126,-87.66832726,db,
35th Street & Damen,41.830338,-87.675437,db,
Polk & Damen,41.87142309,-87.67656925,db,
79th Street & Indiana,41.75098439,-87.6198742,db,
111th Street & Michigan,41.69253952,-87.62122408,db,
Madison & Menard,41.88008776,-87.76992191,db,
87th Street & Morgan,41.7358845,-87.64808512,db,
51st Street & King Drive,41.80203876,-87.61574132,db,
S. Shore Drive & 79th Street,41.75223404,-87.54823243,db,
47th Street & Wallace,41.80887375,-87.64081761,db,
71st Street & King Drive,41.76563,-87.61548,db,
111th Street & Indiana,41.69257126,-87.61840705,db,
Morse & Sheridan,42.00790263,-87.66177918,db,
Homan & Grand,41.90027454,-87.71154689,db,
Cottage Grove & 60th Street,41.78573679,-87.60593411,db,
Ashland & Webster,41.92136043,-87.66847102,db,
LaSalle & Huron,41.89484249,-87.63257579,db,
Sedgwick & North Avenue,41.91096074,-87.6385132,db,
87th Street & Drexel,41.7366103,-87.60249853,db,
87th Street & Dauphin/Ingleside,41.736645,-87.601322,db,
65th Street & Long,41.77441797,-87.7566502,db,
Lawrence & Lawndale,41.96821766,-87.72080234,db,
61st Street & Ellis,41.78404668,-87.60126456,db,
900 W Roosevelt,41.86721921,-87.64943144,db,
Montrose & Winchester,41.96153108,-87.67737373,db,
Stony Island & Anthony,41.74868352,-87.58540157,db,
Commercial & 102nd Street,41.7099611,-87.5521846,db,
Yates & Exchange,41.76566303,-87.56642039,db,
Austin & Fulton/Pleasant,41.88567802,-87.77475289,db,
Ashland Orange Line Station,41.83910322,-87.6652554,db,
71st Street & Merrill,41.766323,-87.572452,db,
Diversey & Mildred,41.9327459,-87.6513145,db,
31st Street & Halsted,41.83810209,-87.64612406,db,
Wentworth & 26th Street,41.845315,-87.631745,db,
Garfield & Damen,41.79396924,-87.67457834,db,
Fullerton & Kostner,41.92445662,-87.73647819,db,
Chicago & State (Red Line),41.89674104,-87.62802244,db,
115th Street & Halsted,41.68515348,-87.64256228,db,
Madison & Menard,41.88026556,-87.76966086,db,
Grand & Hamlin,41.90439661,-87.7218211,db,
Belmont & Menard,41.93857548,-87.77126819,db,
Montrose & Western,41.96138618,-87.68850147,db,
Lunt & Clark,42.00903531,-87.67418355,db,
Ontario & State,41.89334287,-87.6283778,db,
55th Street & Keeler,41.79324074,-87.72794915,db,
106th Street & Avenue O,41.70281547,-87.53999099,db,
106th Street & Muskegon,41.70284488,-87.554664,db,
Pershing & Halsted,41.82353989,-87.64634449,db,
